,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
iterations,seanInserts,seanWorstInserts,seanRandomInserts,seanAvgSearch,seanSearchEnd,seanDelete,seanWorstDelete,seanRandomDelete,zhenjlInserts,zhenjlWorstInserts,zhenjlRandomInserts,zhenjlAvgSearch,zhenjlSearchEnd,zhenjlDelete,zhenjlWorstDelete,zhenjlRandomDelete,mtchavezInserts,mtchavezWorstInserts,mtchavezRandomInserts,mtchavezAvgSearch,mtchavezSearchEnd,mtchavezDelete,mtchavezWorstDelete,mtchavezRandomDelete,huanduInserts,huanduWorstInserts,huanduRandomInserts,huanduAvgSearch,huanduSearchEnd,huanduDelete,huanduWorstDelete,huanduRandomDelete,colInserts,colWorstInserts,colRandomInserts,colAvgSearch,colSearchEnd,colDelete,colWorstDelete,colRandomDelete,ryszardInserts,ryszardWorstInserts,ryszardRandomInserts,ryszardAvgSearch,ryszardSearchEnd,ryszardDelete,ryszardWorstDelete,ryszardRandomDelete,mtInserts,mtWorstInserts,mtRandomInserts,mtAvgSearch,mtSearchEnd,mtDelete,mtWorstDelete,mtRandomDelete,ruthInserts,ruthWorstInserts,ruthRandomInserts,ruthAvgSearch,ruthSearchEnd,ruthDelete,ruthWorstDelete,ruthRandomDelete
100000,286,238,505,131,51,59,123,396,295,514,853,871,407,718,439,1026,531,329,634,107,112,420,218,561,390,354,881,239,21,189,279,842,397,386,1114,303,142,197,265,790,441,813,1558,338,108,257,485,1223,311,115,674,143,79,58,191,548,205,230,613,107,45,48,148,410
200000,225,227,649,107,90,58,125,575,257,474,1157,771,360,516,446,1389,351,314,858,103,42,310,213,863,347,411,1049,215,21,188,263,1161,360,378,1576,285,161,233,281,1084,571,590,1999,343,169,240,441,1492,236,194,835,130,68,65,186,712,193,236,762,94,74,45,133,501
300000,184,231,786,104,105,59,123,748,240,485,1556,813,500,659,437,1571,363,424,1335,99,64,327,394,991,309,384,1314,217,22,188,265,1131,346,357,1882,284,102,232,278,1285,405,482,2310,342,499,322,448,1701,168,122,968,129,114,73,191,831,170,231,888,98,63,54,137,669
400000,192,226,957,110,126,59,124,797,239,475,1826,802,657,545,443,1697,361,399,1406,100,85,520,576,1048,298,403,1494,237,20,195,280,1245,341,376,2150,288,189,227,312,1394,420,491,2671,317,284,287,456,1810,166,112,1084,128,74,68,180,862,238,230,1149,107,49,43,128,743
500000,177,231,1077,115,89,60,131,925,254,486,2032,818,591,498,438,1856,349,414,1534,97,36,560,373,1123,367,393,1586,221,26,213,275,1295,361,386,2206,295,241,237,288,1490,427,591,2859,331,395,300,453,2033,627,104,1154,133,62,74,184,994,175,256,1215,105,71,44,136,820
600000,191,278,1200,113,101,63,133,936,256,495,2244,891,654,502,444,1961,350,394,1679,101,71,364,579,1193,334,401,1855,241,22,198,279,1381,429,436,2170,296,191,225,288,1681,410,730,3079,343,402,281,454,2142,176,104,1231,136,60,70,185,1053,189,263,1332,110,70,49,134,875
700000,189,265,1421,116,75,61,127,1000,273,481,2384,854,569,609,439,2012,343,400,1722,114,94,531,437,1228,373,405,1871,231,22,205,284,1424,372,398,2228,302,247,236,316,1668,461,548,3193,366,447,283,471,2159,138,124,1272,128,64,71,181,1088,188,250,1386,109,56,53,138,890
800000,198,256,1590,117,68,62,127,1014,278,509,2504,1085,509,506,443,2128,341,413,1809,109,93,400,447,1285,335,410,1873,239,40,207,290,1468,370,429,2510,301,166,229,341,1842,401,598,3244,400,492,278,473,2276,143,139,1349,131,69,69,194,1053,201,262,1457,109,59,52,134,956
900000,178,263,1832,120,84,63,130,1048,280,510,2626,859,630,520,440,2165,362,389,1859,113,53,474,388,1385,348,438,1893,253,21,195,278,1653,351,402,2658,312,299,229,293,1801,465,562,3433,356,139,269,465,2315,186,144,1363,141,75,73,182,1081,180,258,1501,113,48,50,135,996
1000000,188,260,1908,121,77,63,137,1097,286,502,2764,845,605,523,440,2217,334,409,1913,110,77,364,413,1384,337,433,1995,231,21,217,304,1566,360,428,2846,298,114,223,299,1833,420,597,3547,348,281,278,446,2426,136,134,1414,135,82,73,188,1142,200,256,1583,109,48,52,130,1033
1100000,181,263,1734,126,87,68,132,1150,298,506,2825,844,393,502,438,2241,358,405,1961,112,60,499,420,1407,361,418,2031,238,21,192,271,1648,351,421,2816,320,264,228,294,1913,425,577,3613,374,322,296,451,2499,134,129,1420,143,75,74,192,1158,181,263,1634,109,67,55,139,1062
1200000,186,249,1716,118,62,65,133,1154,269,547,2898,859,428,506,439,2294,349,413,2017,112,68,521,530,1451,359,458,2034,240,23,237,278,1665,341,416,3032,306,167,249,298,1921,448,619,3624,364,260,296,479,2534,113,134,1498,142,64,66,195,1148,190,257,1685,115,111,55,143,1070
1300000,182,261,1748,120,77,65,135,1182,282,549,2996,844,567,498,435,2334,339,411,2096,113,118,365,468,1488,331,406,2115,245,22,247,284,1697,406,427,2937,293,183,238,315,1967,439,595,3628,360,254,293,486,2515,133,136,1485,138,75,70,200,1163,176,265,1731,113,46,54,141,1107
1400000,181,268,2002,117,107,66,141,1196,296,513,3018,827,492,497,443,2448,351,395,2103,116,65,517,440,1498,362,464,2140,248,43,217,280,1677,408,426,3114,318,164,215,310,1991,438,559,3733,368,237,296,481,2607,118,116,1506,139,78,76,202,1219,187,255,1754,114,63,56,141,1147
1500000,177,255,2151,117,77,65,134,1230,288,496,3126,894,550,519,437,2444,336,421,2147,104,61,400,479,1537,338,415,2217,247,21,226,290,1702,405,409,3152,299,200,260,313,2039,415,616,3928,383,210,284,488,2677,114,133,1546,142,93,74,186,1244,187,267,1790,115,76,56,140,1143
1600000,171,258,1906,129,77,65,132,1260,296,485,3290,854,740,507,438,2425,330,395,2261,108,74,407,444,1543,321,433,2169,245,22,240,295,1755,357,423,3008,322,200,229,296,2046,426,574,3819,363,314,302,471,2775,136,129,1576,145,69,81,193,1270,197,251,1830,121,106,51,144,1171
1700000,177,276,1974,122,41,65,132,1257,276,527,3149,870,593,501,500,2540,368,408,2164,112,57,511,447,1576,335,414,2255,239,22,232,295,1851,353,454,3001,312,140,220,318,2072,513,574,3919,365,276,315,470,2744,126,127,1594,142,77,76,193,1293,180,252,1866,116,89,64,147,1199
1800000,177,282,2023,123,81,66,141,1311,286,512,3175,855,520,512,447,2503,342,401,2173,115,69,372,599,1582,322,433,2253,249,21,224,362,1798,355,431,3215,309,167,238,333,2117,431,571,4008,380,192,309,494,2833,121,119,1659,144,69,70,200,1305,184,289,1909,115,62,51,147,1227
1900000,173,245,2255,121,56,66,141,1310,292,508,3223,847,679,504,435,2553,342,392,2197,120,100,418,634,1609,381,414,2300,258,21,203,299,1791,382,451,3210,310,286,234,303,2135,421,653,4014,350,310,288,495,2865,124,137,1687,144,87,72,192,1321,190,251,1908,109,51,55,135,1400
2000000,166,264,2458,116,86,66,146,1340,294,517,4588,854,471,506,441,2575,347,420,2230,108,57,443,530,1615,350,424,2380,247,21,222,284,1857,369,427,3032,311,182,243,295,2139,415,555,4048,353,356,306,487,3005,124,126,1834,151,92,71,201,1347,201,276,1960,137,99,53,140,1314
2100000,184,266,2380,124,99,66,134,1310,288,513,3938,862,814,519,442,2705,331,391,2249,116,76,360,568,1643,317,408,2359,247,22,216,286,2001,378,415,3073,309,129,248,303,2180,448,577,4162,361,178,319,498,2907,117,126,1710,143,76,74,190,1450,193,257,1939,118,44,58,149,1280
2200000,176,255,2470,122,97,60,137,1315,293,521,3788,861,575,497,475,2605,351,430,3599,112,62,483,403,1660,331,408,2370,248,21,228,336,1908,376,422,3194,311,185,243,311,2236,417,612,4183,382,216,306,477,3049,129,139,1729,147,72,76,198,1446,178,279,1976,120,81,56,146,1369
2300000,187,273,2145,123,88,69,141,1313,300,502,3607,921,536,522,450,2622,350,415,2489,120,95,471,432,1686,351,407,2403,245,22,212,319,1858,371,419,3243,319,139,226,302,2211,485,580,4194,392,200,319,515,3174,122,121,1722,144,108,76,203,1501,205,260,2013,112,70,54,137,1291
2400000,168,258,2268,124,97,63,140,1325,287,535,3740,848,470,506,458,2649,350,398,2640,135,90,414,597,1839,316,401,2450,245,22,214,288,1877,344,417,3107,325,196,229,303,2244,427,610,4271,377,226,283,505,3163,120,117,1783,144,82,86,196,1510,186,254,2063,115,64,55,142,1430
2500000,178,268,2271,127,72,70,131,1344,282,539,3824,831,416,514,440,2897,354,396,2803,124,67,502,487,1799,346,489,2428,244,22,225,304,2202,380,426,3195,333,198,239,298,2261,420,619,4318,385,160,311,496,3114,119,125,1758,146,88,74,202,1478,186,272,2054,118,91,55,139,1495
2600000,183,263,2192,120,56,71,135,1359,282,512,3794,845,488,520,434,2731,348,417,2739,116,68,345,461,1704,334,419,2486,246,21,221,293,2218,417,485,3178,325,183,233,306,2459,477,586,4338,389,186,308,477,3225,119,130,1797,144,91,73,206,1447,186,262,2138,133,84,54,147,1373
2700000,173,255,2271,118,56,67,133,1386,292,561,3655,843,567,509,439,2740,337,409,2617,117,70,358,572,1727,358,409,2526,246,21,225,317,2072,403,430,3198,317,230,231,308,2293,446,612,4584,371,414,294,519,3268,125,129,1979,144,75,71,206,1481,194,267,2257,114,73,58,146,1348
2800000,181,259,2252,126,72,67,141,1387,299,507,3666,855,531,507,434,2753,355,413,2696,122,43,340,427,1742,359,401,2473,244,22,223,303,2066,411,441,3222,318,261,221,302,2447,455,614,4505,359,182,299,514,3222,124,138,1858,151,74,84,202,1494,196,257,2100,118,84,55,154,1522
2900000,173,262,2298,123,162,67,147,1388,292,560,3703,845,546,499,440,2807,350,409,2685,114,78,475,568,1771,327,406,2506,246,22,233,284,2241,377,425,3262,344,240,242,301,2635,426,616,4515,401,347,298,519,3227,129,128,1774,151,67,75,204,1505,187,259,2139,120,41,62,139,1536
3000000,171,273,2304,124,105,67,162,1401,285,506,3723,889,546,493,437,2808,338,393,2717,120,58,495,432,1967,367,419,2525,266,21,236,325,2194,381,400,3297,340,143,223,334,2496,441,597,4522,385,190,287,512,3390,124,129,1776,145,90,77,198,1516,184,263,2105,118,62,54,151,1523
